Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Sexo,Nacionalidad,Provincia,Canton,Distrito
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,1/22/21,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,BELEN,LA RIBERA
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,1/30/21,00:00:00 - 02:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Desconocido,HOMBRE,Desconocido,HEREDIA,SAN ISIDRO,SAN FRANCISCO
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,2/14/21,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Menor de edad,MUJER,COSTA RICA,LIMON,MATINA,CARRANDI
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,2/16/21,21:00:00 - 23:59:59,PERSONA,MENOR DE EDAD [PERSONA],Menor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,CHACARITA
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,2/17/21,00:00:00 - 02:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Menor de edad,HOMBRE,COSTA RICA,GUANACASTE,LIBERIA,LIBERIA
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,3/12/21,00:00:00 - 02:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,BARRANCA
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,4/26/21,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,Desconocido,LIMON,GUACIMO,RIO JIMENEZ
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,4/29/21,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,POCOCI,GUAPILES
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,6/8/21,12:00:00 - 14:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,DESCONOCIDO,Desconocido,HEREDIA,HEREDIA,SAN FRANCISCO
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,7/2/21,00:00:00 - 02:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,MORA,PIEDRAS NEGRAS
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,8/12/21,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,SANTA CRUZ,SANTA CRUZ
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,8/31/21,18:00:00 - 20:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,DESCONOCIDO,Desconocido,LIMON,POCOCI,CARIARI
