CANTON,CANTON_ID,CANTON_MP,REGION,POBLACION,AREA KM2,DENSIDAD POBLACION
ABANGARES,507,Abangares,Chorotega," 20,282 ", 646 , 31 
ACOSTA,112,Acosta,Central," 22,257 ", 343 , 65 
ALAJUELA,201,Alajuela,Central," 321,872 ", 392 , 822 
ALAJUELITA,110,Alajuelita,Central," 97,158 ", 21 ," 4,527 "
ALVARADO,306,Alvarado,Central," 15,615 ", 79 , 197 
ASERRI,106,Aserrí,Central," 64,480 ", 168 , 383 
ATENAS,205,Atenas,Central," 29,880 ", 126 , 237 
BAGACES,504,Bagaces,Chorotega," 24,847 "," 1,278 ", 19 
BARVA,402,Barva,Central," 48,190 ", 56 , 860 
BELEN,407,Belén,Central," 26,853 ", 12 ," 2,167 "
BUENOS AIRES,603,Buenos Aires,Brunca," 54,782 "," 2,383 ", 23 
CANAS,506,Canas,Chorotega," 33,393 ", 687 , 49 
CARRILLO,505,Carrillo,Chorotega," 47,756 ", 599 , 80 
CARTAGO,301,Cartago,Central," 166,204 ", 279 , 596 
CORREDORES,610,Corredores,Brunca," 53,484 ", 624 , 86 
COTO BRUS,608,Coto Brus,Brunca," 44,280 ", 944 , 47 
CURRIDABAT,118,Curridabat,Central," 80,677 ", 16 ," 5,020 "
DESAMPARADOS,103,Desamparados,Central," 249,367 ", 119 ," 2,097 "
DOTA,117,Dota,Central," 8,041 ", 404 , 20 
EL GUARCO,308,El Guarco,Central," 46,959 ", 172 , 273 
ESCAZU,102,Escazú,Central," 71,202 ", 35 ," 2,062 "
ESPARZA,602,Esparza,Pacífico Central," 39,244 ", 217 , 181 
FLORES,408,Flores,Central," 25,401 ", 7 ," 3,763 "
GARABITO,611,Garabito,Pacífico Central," 27,404 ", 316 , 87 
GOICOECHEA,108,Goicoechea,Central," 140,764 ", 32 ," 4,441 "
GOLFITO,607,Golfito,Brunca," 33,687 "," 1,032 ", 33 
GRECIA,203,Grecia,Central," 79,672 ", 142 , 559 
GUACIMO,706,Guácimo,Huetar Caribe," 57,021 ", 802 , 71 
GUATUSO,215,Guatuso,Huetar Norte," 19,696 ", 753 , 26 
HEREDIA,401,Heredia,Central," 146,020 ", 283 , 516 
HOJANCHA,511,Hojancha,Chorotega," 8,085 ", 263 , 31 
JIMENEZ,304,Jiménez,Central," 16,361 ", 250 , 65 
LA CRUZ,510,La Cruz,Chorotega," 28,071 "," 1,385 ", 20 
LA UNION,303,La Unión,Central," 114,615 ", 44 ," 2,594 "
LEON CORTES,120,León Cortés Castro,Central," 13,990 ", 122 , 115 
LIBERIA,501,Liberia,Chorotega," 79,610 "," 1,442 ", 55 
