CANTON,CANTON_ID,CANTON_MP, INDICE SEGURIDAD , INDICE EDUCACION , INDICE ECONOMICO 
ABANGARES,507,Abangares,29.1,52.6,15.7
ACOSTA,112,Acosta,92.4,72.5,30
ALAJUELA,201,Alajuela,69.2,79.8,60.3
ALAJUELITA,110,Alajuelita,85.9,73.7,58.3
ALVARADO,306,Alvarado,85.3,97.6,45.8
ASERRI,106,Aserrí,80.7,85.1,61.1
ATENAS,205,Atenas,73.7,92.6,56.1
BAGACES,504,Bagaces,59.4,56.8,44.2
BARVA,402,Barva,92.1,83.6,76.4
BELEN,407,Belén,72.1,83.1,88.4
BUENOS AIRES,603,Buenos Aires,73.5,22.1,9
CANAS,506,Canas,80.8,51.2,44.9
CARRILLO,505,Carrillo,56,83.6,76.8
CARTAGO,301,Cartago,77.6,91.1,65.5
CORREDORES,610,Corredores,39.7,33.7,37.6
COTO BRUS,608,Coto Brus,86.7,42.9,19.4
CURRIDABAT,118,Curridabat,88.2,70.1,77.1
DESAMPARADOS,103,Desamparados,86,84.1,60.4
DOTA,117,Dota,89.1,65,35.6
EL GUARCO,308,El Guarco,86.4,88,53.7
ESCAZU,102,Escazú,86.5,75.8,99.4
ESPARZA,602,Esparza,60.8,65.8,50.1
FLORES,408,Flores,91.8,86.9,82.5
GARABITO,611,Garabito,0,60.2,77.5
GOICOECHEA,108,Goicoechea,80,76.9,65.4
GOLFITO,607,Golfito,42.2,22.4,29
GRECIA,203,Grecia,89.4,91,57.2
GUACIMO,706,Guácimo,41.5,55.8,23.2
GUATUSO,215,Guatuso,61.8,26.5,12.3
HEREDIA,401,Heredia,76.3,85.5,76
HOJANCHA,511,Hojancha,82.8,72.8,29.5
JIMENEZ,304,Jiménez,89.5,72.3,38.5
LA CRUZ,510,La Cruz,20.6,49.2,13
LA UNION,303,La Unión,76.1,85.6,75.7
LEON CORTES,120,León Cortés Castro,75.2,76.7,30.2
LIBERIA,501,Liberia,67.8,78.1,65.6
LIMON,701,Limón,2.2,42.6,36.6
LOS CHILES,214,Los Chiles,53.5,17.6,0
MATINA,705,Matina,3.6,30.3,16.4
MONTES DE OCA,115,Montes de Oca,90.5,67.5,75.1
MONTES DE ORO,604,Montes de Oro,63.9,60.8,48.6
MONTEVERDE,612,Monteverde,100,75.7,53.2
MORA,107,Mora,85.6,80.5,52.1
MORAVIA,114,Moravia,89.7,76.8,75
NANDAYURE,509,Nandayure,59.6,56.6,20.2
NARANJO,206,Naranjo,79.3,93.1,48.4
NICOYA,502,Nicoya,54.5,68.8,43.1
OREAMUNO,307,Oreamuno,89.8,89.9,68
OROTINA,209,Orotina,23.1,80.8,47
OSA,605,Osa,18.6,39.7,34.8
PALMARES,207,Palmares,89.4,100,56.1
PARAISO,302,Paraíso,84.6,92,59
PARRITA,609,Parrita,16.8,42.7,41.3
PEREZ ZELEDON,119,Pérez Zeledón,80.4,72.6,31.2
POAS,208,Poás,88.6,90.9,48.8
POCOCI,702,Pococí,40.2,59.9,36.8
PUERTO JIMENEZ,613,Puerto Jimenez,21.5,26,8.2
PUNTARENAS,601,Puntarenas,38.7,50.5,45.9
PURISCAL,104,Puriscal,89.5,67,31.3
QUEPOS,606,Quepos,30,51.9,49.3
RIO CUARTO,216,Río Cuarto,47.8,38.2,24
SAN CARLOS,210,San Carlos,64.9,58,42.8
SAN ISIDRO,406,San Isidro,80.9,72.5,80.9
SAN JOSE,101,San José,60.7,69.6,64.6
SAN MATEO,204,San Mateo,87.1,64.4,35.8
SAN PABLO,409,San Pablo,99.5,67.6,80.1
SAN RAFAEL,405,San Rafael,91.8,88.1,78.6
SAN RAMON,202,San Ramón,78.4,73.5,45.4
SANTA ANA,109,Santa Ana,84.7,59.3,100
SANTA BARBARA,404,Santa Bárbara,89,82.4,66
SANTA CRUZ,503,Santa Cruz,62.5,75,66.7
SANTO DOMINGO,403,Santo Domingo,79.6,91.3,82.3
SARAPIQUI,410,Sarapiquí,48.8,30,27.7
SARCHI,212,Sarchí,94.8,94.8,43.6
SIQUIRRES,703,Siquirres,40.2,56.7,26.6
TALAMANCA,704,Talamanca,42.9,0,9.8
TARRAZU,105,Tarrazú,82.9,60.2,36
TIBAS,113,Tibás,74.3,60.9,63
TILARAN,508,Tilarán,86.4,55.8,35.3
TURRIALBA,305,Turrialba,91.4,38.4,36
TURRUBARES,116,Turrubares,68.4,44.7,15.4
UPALA,213,Upala,66.9,42.3,18.3
VASQUEZ DE CORONADO,111,Vázquez de Coronado,78.3,75.3,71
ZARCERO,211,Zarcero,89,70.1,57.8
